id,name,businessProcessId,description,valueProposition,processTypes,color,order,tags
cap_contact_mgmt,Contact Management,bp_sales,Centralized database for customer information,Maintain comprehensive customer profiles and interaction history,core,blue,1,crm
cap_lead_mgmt,Lead Management,bp_sales,Track leads from initial contact through conversion,Centralize lead tracking and improve conversion rates by 20-30%,"core,workflow,strategic",blue,2,crm
cap_opportunity_mgmt,Opportunity Management,bp_sales,Manage sales opportunities through pipeline,Increase win rates and forecast accuracy with real-time visibility,"core,workflow",blue,3,crm
cap_sales_force_auto,Sales Force Automation,bp_sales,Track interactions and manage sales pipelines,Automate repetitive sales tasks and improve productivity by 20-30%,"core,workflow,strategic",blue,4,crm
cap_sales_forecasting,Sales Forecasting,bp_sales,Predict future sales and revenue,Improve forecast accuracy and quota management,"workflow,strategic",blue,5,crm
cap_workflow_automation,Workflow Automation,bp_sales,Automate repetitive tasks and approvals,Reduce manual work and improve process efficiency,"workflow,strategic",blue,6,"crm,erp"
cap_pipeline_mgmt,Pipeline Management,bp_sales,Real-time visibility into sales pipeline,Track deals through stages and identify bottlenecks,workflow,blue,7,crm
cap_marketing_auto,Marketing Automation,bp_marketing,Automate marketing tasks and workflows,Streamline campaign execution and lead nurturing,"core,workflow,strategic",green,1,crm
cap_campaign_mgmt,Campaign Management,bp_marketing,Design and execute multi-channel campaigns,Improve campaign ROI and customer engagement,"workflow,strategic",green,2,crm
cap_email_marketing,Email Marketing,bp_marketing,Create and track email campaigns,Increase email engagement and conversion rates,workflow,green,3,crm
cap_lead_nurturing,Lead Nurturing,bp_marketing,Automated lead development workflows,Move leads through funnel with personalized content,workflow,green,4,crm
cap_segmentation,Customer Segmentation,bp_marketing,Target specific customer groups,Improve campaign relevance and conversion rates,strategic,green,5,"crm,erp"
cap_journey_orchestration,Customer Journey Orchestration,bp_marketing,Map and automate customer journeys,Create personalized multi-touch experiences,"workflow,strategic",green,6,crm
cap_customer_service_auto,Customer Service Automation,bp_service,Ticket management and case routing,Improve response times and customer satisfaction,"core,workflow,strategic",orange,1,crm
cap_case_mgmt,Case Management,bp_service,Track and resolve customer issues,Manage cases from initiation to resolution with SLA tracking,"workflow,strategic",orange,2,crm
cap_knowledge_base,Knowledge Base,bp_service,Centralized knowledge repository,Enable self-service and improve agent efficiency,core,orange,3,"crm,erp"
cap_omnichannel,Omnichannel Engagement,bp_service,Unified customer interactions across channels,Provide seamless experience across phone email chat social,workflow,orange,4,crm
cap_self_service,Self-Service Portals,bp_service,Customer self-help capabilities,Reduce support costs and improve customer satisfaction,workflow,orange,5,crm
cap_field_service_mgmt,Field Service Management,bp_field_service,Manage on-site service delivery,Optimize technician scheduling and resource allocation,"core,workflow",purple,1,"crm,erp"
cap_work_order_mgmt,Work Order Management,bp_field_service,Create and track service tasks,Streamline service request to completion process,workflow,purple,2,erp
cap_scheduling_dispatch,Scheduling and Dispatching,bp_field_service,Intelligent resource scheduling,Optimize technician routes and reduce travel time,"workflow,strategic",purple,3,erp
cap_mobile_field_service,Mobile Field Service,bp_field_service,Mobile access for field technicians,Enable real-time updates and offline capabilities,workflow,purple,4,erp
