id,name,vendorId,description,productType,capabilityIds,features,pricingTier,marketPosition,logoUrl,performanceMetrics,deploymentModels,integrations,domains
prod_sf_sales_cloud,Sales Cloud,vendor_salesforce,Comprehensive sales automation platform,module,"cap_lead_mgmt,cap_opportunity_mgmt,cap_contact_mgmt,cap_sales_force_auto,cap_sales_forecasting,cap_workflow_automation,cap_pipeline_mgmt,cap_data_analysis","Lead and Opportunity Management|Account and Contact Management|Sales Forecasting|Workflow Automation|Mobile Access|Reporting and Dashboards",$$$$,leader,assets/logos/salesforce.png,"productivityIncrease:20-30%|revenueImpact:15-25%|roi:361% over 3 years|timeToValue:6-12 months","cloud,hybrid","Marketing Cloud|Service Cloud|Tableau|MuleSoft",crm
prod_sf_service_cloud,Service Cloud,vendor_salesforce,Comprehensive customer service platform,module,"cap_customer_service_auto,cap_case_mgmt,cap_knowledge_base,cap_omnichannel,cap_self_service,cap_workflow_automation,cap_contact_mgmt,cap_data_analysis","Case Management|Omnichannel Routing|Knowledge Base|Self-Service Portals|Automation and AI|Service Analytics",$$$$,leader,assets/logos/salesforce.png,"productivityIncrease:20-30%|revenueImpact:15-25%|roi:361% over 3 years|timeToValue:6-12 months",cloud,"Sales Cloud|Marketing Cloud|Einstein AI",crm
prod_sf_marketing_cloud,Marketing Cloud,vendor_salesforce,Enterprise marketing automation platform,module,"cap_marketing_auto,cap_campaign_mgmt,cap_email_marketing,cap_lead_mgmt,cap_lead_nurturing,cap_segmentation,cap_journey_orchestration,cap_data_analysis","Campaign Management|Audience Segmentation|Personalization|Journey Mapping|Analytics and Reporting|B2B and B2C Marketing",$$$$,leader,assets/logos/salesforce.png,"productivityIncrease:20-30%|revenueImpact:15-25%|roi:361% over 3 years|timeToValue:6-12 months",cloud,"Sales Cloud|Service Cloud|Pardot",crm
prod_sf_commerce_cloud,Commerce Cloud,vendor_salesforce,Unified commerce platform,module,"cap_commerce_mgmt,cap_order_mgmt,cap_personalization,cap_sales_force_auto,cap_customer_service_auto,cap_campaign_mgmt,cap_data_analysis","Unified Commerce (B2B/B2C)|Order Management|Personalized Shopping Experiences|Multi-Channel Integration|Mobile Optimization|Analytics",$$$$,leader,assets/logos/salesforce.png,"productivityIncrease:20-30%|revenueImpact:15-25%|roi:361% over 3 years|timeToValue:6-12 months",cloud,"Sales Cloud|Service Cloud|Marketing Cloud",crm
prod_d365_sales,Dynamics 365 Sales,vendor_microsoft,AI-powered sales automation,module,"cap_lead_mgmt,cap_opportunity_mgmt,cap_contact_mgmt,cap_sales_force_auto,cap_sales_forecasting,cap_workflow_automation,cap_pipeline_mgmt,cap_data_analysis","Lead and Opportunity Management|AI-Powered Insights (Copilot)|Sales Automation|LinkedIn Sales Navigator Integration|Mobile Sales App|Collaboration Tools|Quote and Order Management",$$$,leader,assets/logos/microsoft.png,"productivityIncrease:15-25%|revenueImpact:12-20%|timeToValue:6-12 months","cloud,on-premise,hybrid","Customer Service|Marketing|Power Platform|Teams|Outlook",crm
prod_d365_service,Dynamics 365 Customer Service,vendor_microsoft,Omnichannel customer service platform,module,"cap_customer_service_auto,cap_case_mgmt,cap_knowledge_base,cap_omnichannel,cap_self_service,cap_workflow_automation,cap_contact_mgmt,cap_data_analysis","Omnichannel Engagement|Case Management|Knowledge Base|AI-Driven Insights|Self-Service Portals|Performance Analytics",$$$,leader,assets/logos/microsoft.png,"productivityIncrease:15-25%|revenueImpact:12-20%|timeToValue:6-12 months","cloud,on-premise,hybrid","Sales|Marketing|Power Platform|Teams",crm
prod_d365_marketing,Dynamics 365 Marketing,vendor_microsoft,Customer journey orchestration platform,module,"cap_marketing_auto,cap_campaign_mgmt,cap_email_marketing,cap_lead_mgmt,cap_lead_nurturing,cap_segmentation,cap_journey_orchestration,cap_data_analysis","Customer Journey Orchestration|Segmentation and Targeting|Lead Nurturing|Event Management|Email Marketing Automation|Analytics and Reporting",$$$,leader,assets/logos/microsoft.png,"productivityIncrease:15-25%|revenueImpact:12-20%|timeToValue:6-12 months","cloud,on-premise,hybrid","Sales|Customer Service|Power Platform|LinkedIn",crm
prod_d365_field_service,Dynamics 365 Field Service,vendor_microsoft,Intelligent field service management,module,"cap_field_service_mgmt,cap_work_order_mgmt,cap_scheduling_dispatch,cap_mobile_field_service,cap_iot_integration,cap_workflow_automation,cap_customer_service_auto,cap_contact_mgmt","Work Order Management|Scheduling and Dispatching|Resource and Inventory Management|Mobile Field Service|Routing Optimization|Customer Communication|Remote Assistance|IoT Integration",$$$,leader,assets/logos/microsoft.png,"productivityIncrease:15-25%|revenueImpact:12-20%|timeToValue:6-12 months","cloud,on-premise,hybrid","Customer Service|Sales|Power Platform|Azure IoT",crm
prod_hubspot_marketing,Marketing Hub,vendor_hubspot,Inbound marketing automation,module,"cap_marketing_auto,cap_campaign_mgmt,cap_email_marketing,cap_lead_mgmt,cap_lead_nurturing,cap_segmentation,cap_data_analysis","Email Marketing|Lead Nurturing|SEO Tools|Analytics|Landing Pages|Social Media Management",$$,strong,assets/logos/hubspot.png,"productivityIncrease:15-25%|revenueImpact:10-20%|roi:246% over 2 years|timeToValue:3-6 months",cloud,"Sales Hub|Service Hub|CMS Hub|Operations Hub",crm
prod_hubspot_sales,Sales Hub,vendor_hubspot,Sales automation for SMBs,module,"cap_lead_mgmt,cap_opportunity_mgmt,cap_contact_mgmt,cap_sales_force_auto,cap_pipeline_mgmt,cap_workflow_automation,cap_data_analysis","Pipeline Management|Email Tracking|Meeting Scheduling|Document Sharing|Sales Automation|Reporting",$$,strong,assets/logos/hubspot.png,"productivityIncrease:15-25%|revenueImpact:10-20%|roi:246% over 2 years|timeToValue:3-6 months",cloud,"Marketing Hub|Service Hub|CMS Hub",crm
